Abbrevation_internal	Abbrevation	OPC_molecular_subtype	Color_code	Molecular_superfamily	Molecular_family	Molecular_class	Molecular_subclass	description
PFA-1e	EPN_PFA_1E	EPN, PF A	#e40149	Ependymal tumours	posterior fossa ependymoma group A	posterior fossa ependymoma group A1	Posterior fossa group A (PFA) ependymoma, subclass 1e	The "mf Posterior fossa group A (PFA) ependymoma" comprises the methylation classes posterior fossa ependymoma group A1 and A2 with their provisional molecular subclasses 1a-f and 2a-c, respectively. They represent the molecularly rendered tumor type of PFA ependymomas, histologically typically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix. They typically show a loss of nuclear H3 p.K28me3 (K27me3) expression in tumour cells.
PFA-1f	EPN_PFA_1F	EPN, PF A	#b20139	Ependymal tumours	posterior fossa ependymoma group A	posterior fossa ependymoma group A1	Posterior fossa group A (PFA) ependymoma, subclass 1f	The "mf Posterior fossa group A (PFA) ependymoma" comprises the methylation classes posterior fossa ependymoma group A1 and A2 with their provisional molecular subclasses 1a-f and 2a-c, respectively. They represent the molecularly rendered tumor type of PFA ependymomas, histologically typically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix. They typically show a loss of nuclear H3 p.K28me3 (K27me3) expression in tumour cells.
PFA-2a	EPN_PFA_2A	EPN, PF A	#7f0129	Ependymal tumours	posterior fossa ependymoma group A	posterior fossa ependymoma group A2	Posterior fossa group A (PFA) ependymoma, subclass 2a	The "mf Posterior fossa group A (PFA) ependymoma" comprises the methylation classes posterior fossa ependymoma group A1 and A2 with their provisional molecular subclasses 1a-f and 2a-c, respectively. They represent the molecularly rendered tumor type of PFA ependymomas, histologically typically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix. They typically show a loss of nuclear H3 p.K28me3 (K27me3) expression in tumour cells.
PFA-2b	EPN_PFA_2B	EPN, PF A	#e53367	Ependymal tumours	posterior fossa ependymoma group A	posterior fossa ependymoma group A2	Posterior fossa group A (PFA) ependymoma, subclass 2b	The "mf Posterior fossa group A (PFA) ependymoma" comprises the methylation classes posterior fossa ependymoma group A1 and A2 with their provisional molecular subclasses 1a-f and 2a-c, respectively. They represent the molecularly rendered tumor type of PFA ependymomas, histologically typically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix. They typically show a loss of nuclear H3 p.K28me3 (K27me3) expression in tumour cells.
PFA-2c	EPN_PFA_2C	EPN, PF A	#cc1a4e	Ependymal tumours	posterior fossa ependymoma group A	posterior fossa ependymoma group A2	Posterior fossa group A (PFA) ependymoma, subclass 2c	The "mf Posterior fossa group A (PFA) ependymoma" comprises the methylation classes posterior fossa ependymoma group A1 and A2 with their provisional molecular subclasses 1a-f and 2a-c, respectively. They represent the molecularly rendered tumor type of PFA ependymomas, histologically typically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix. They typically show a loss of nuclear H3 p.K28me3 (K27me3) expression in tumour cells.
PFB-1	EPN_PFB_1	EPN, PF B	#e6657b	Ependymal tumours	posterior fossa ependymoma group B & posterior fossa subependymoma	posterior fossa ependymoma group B	Posterior fossa group B (PFB) ependymoma, subclass 1	The "mc posterior fossa ependymoma group B" comprises the molecular subclasses 1-5 and represents the molecularly rendered tumor type Posterior fossa group B (PFB) ependymomas, histologically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix.  Retention of nuclear H3 p.K28me3 (K27me3) expression is observed, but it is not specific for PFB ependymomas.
PFB-2	EPN_PFB_2	EPN, PF B	#df3955	Ependymal tumours	posterior fossa ependymoma group B & posterior fossa subependymoma	posterior fossa ependymoma group B	Posterior fossa group B (PFB) ependymoma, subclass 2	The "mc posterior fossa ependymoma group B" comprises the molecular subclasses 1-5 and represents the molecularly rendered tumor type Posterior fossa group B (PFB) ependymomas, histologically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix.  Retention of nuclear H3 p.K28me3 (K27me3) expression is observed, but it is not specific for PFB ependymomas.
PFB-3	EPN_PFB_3	EPN, PF B	#c6203c	Ependymal tumours	posterior fossa ependymoma group B & posterior fossa subependymoma	posterior fossa ependymoma group B	Posterior fossa group B (PFB) ependymoma, subclass 3	The "mc posterior fossa ependymoma group B" comprises the molecular subclasses 1-5 and represents the molecularly rendered tumor type Posterior fossa group B (PFB) ependymomas, histologically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix.  Retention of nuclear H3 p.K28me3 (K27me3) expression is observed, but it is not specific for PFB ependymomas.
PFB-4	EPN_PFB_4	EPN, PF B	#9a192e	Ependymal tumours	posterior fossa ependymoma group B & posterior fossa subependymoma	posterior fossa ependymoma group B	Posterior fossa group B (PFB) ependymoma, subclass 4	The "mc posterior fossa ependymoma group B" comprises the molecular subclasses 1-5 and represents the molecularly rendered tumor type Posterior fossa group B (PFB) ependymomas, histologically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix.  Retention of nuclear H3 p.K28me3 (K27me3) expression is observed, but it is not specific for PFB ependymomas.
PFB-5	EPN_PFB_5	EPN, PF B	#6e1221	Ependymal tumours	posterior fossa ependymoma group B & posterior fossa subependymoma	posterior fossa ependymoma group B	Posterior fossa group B (PFB) ependymoma, subclass 5	The "mc posterior fossa ependymoma group B" comprises the molecular subclasses 1-5 and represents the molecularly rendered tumor type Posterior fossa group B (PFB) ependymomas, histologically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix.  Retention of nuclear H3 p.K28me3 (K27me3) expression is observed, but it is not specific for PFB ependymomas.
EPN_SPINE	EPN_SPINE	EPN, SP	#FF044C	Ependymal tumours	spinal ependymoma	spinal ependymoma	Spinal ependymoma	The "mc spinal ependymoma" mainly comprises tumors with the histological diagnosis of classical (WHO 2) ependymoma and very rare cases of anaplastic ependymoma. All cases have a spinal location, with most tumors occurring in the cervical or upper thoracic spinal cord; Median age is 43 years (range 11 to 74). Mutations in the NF2 gene are frequent. Numeric whole chromosome changes are often observed in this class, with gain of chromosome 12 (>50%) and loss of chromosome 14 (>50%) and 22 (>80%) being most frequent.
EPN_SPINE_MYCN	EPN_SPINE_MYCN	EPN, SP-MYCN	#b30033	Ependymal tumours	spinal ependymoma	spinal ependymoma, MYCN-amplified	Spinal ependymoma, MYCN-amplified	The "mc spinal ependymoma, MYCN-amplified"  mainly includes tumors with the histological diagnosis of anaplastic ependymoma. Average age is younger than that of "mc spinal ependymoma. Most cases carry MYCN amplification but no NF2 mutation. The clinical course of these tumours appears aggressive.
EPN_SPINE_SE	EPN_SPINE_SE_A		#FA3B44	Ependymal tumours	spinal subependymoma	spinal subependymoma [subtype A]	Spinal subependymoma [subtype A]	The "mf subependymoma, spinal" mainly comprises tumors with the histological diagnosis of subependymoma and to a lesser extent classical (WHO II) ependymoma. All cases have a spinal location with most tumors occurring in the cervical or upper thoracic spinal cord; Median age is 46 years (range 22 to 68). In copy number analysis up to 30% of cases show partial or complex losses of chromosome 6. Additional characteristic molecular features of this class are not known. The mc comprises subtypes A and B. Subtyping is under investigation
EPN_SPINE_NOS	EPN_SPINE_SE_B		#ff1a5b	Ependymal tumours	spinal subependymoma	spinal subependymoma [subtype B]	Spinal subependymoma [subtype B]	The "mf subependymoma, spinal" mainly comprises tumors with the histological diagnosis of subependymoma and to a lesser extent classical (WHO II) ependymoma. All cases have a spinal location with most tumors occurring in the cervical or upper thoracic spinal cord; Median age is 46 years (range 22 to 68). In copy number analysis up to 30% of cases show partial or complex losses of chromosome 6. Additional characteristic molecular features of this class are not known. The mc comprises subtypes A and B. Subtyping is under investigation
EPN_ST_SE	EPN_ST_SE		#FF4156	Ependymal tumours	supratentorial subependymoma	supratentorial subependymoma	Supratentorial subependymoma	The "mc subependymoma, supratentorial" mainly comprises tumors with the histological diagnosis of subependymoma and to a lesser extend classical (WHO II) ependymoma. All cases are located in or around the lateral ventricle. Median age is 48 years (range 25 to 72). Additional characteristic molecular features of this class are not known. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis.
RELA-like A	EPN_ST_ZFTA_FUS_C	EPN, ST ZFTA	#df6d6c	Ependymal tumours	supratentorial ependymoma, ZFTA fusion-positive	supratentorial ependymoma, ZFTA fusion-positive	Supratentorial ependymoma, ZFTA fusion-positive, subclass C	The "mf Supratentorial ependymoma, ZFTA fusion-positive" includes "mc Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass A", "mc Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass B", "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass C", "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass D" and "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass E", and represents the most common group of supratentorial pediatric ependymomas. Within this mf, subclasses C, D and E less frequently show the canonical ZFTA:RELA fusion, with ZFTA rather being fused to alternative partners such as MAML2/3 or NCOA1/2.  These are provisional classes, which are still being further characterized.
RELA-like B	EPN_ST_ZFTA_FUS_D	EPN, ST ZFTA	#e89796	Ependymal tumours	supratentorial ependymoma, ZFTA fusion-positive	supratentorial ependymoma, ZFTA fusion-positive	Supratentorial ependymoma, ZFTA fusion-positive, subclass D	The "mf Supratentorial ependymoma, ZFTA fusion-positive" includes "mc Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass A", "mc Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass B", "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass C", "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass D" and "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass E", and represents the most common group of supratentorial pediatric ependymomas. Within this mf, subclasses C, D and E less frequently show the canonical ZFTA:RELA fusion, with ZFTA rather being fused to alternative partners such as MAML2/3 or NCOA1/2.  These are provisional classes, which are still being further characterized.
RELA-like C	EPN_ST_ZFTA_FUS_E	EPN, ST ZFTA	#f1c0c0	Ependymal tumours	supratentorial ependymoma, ZFTA fusion-positive	supratentorial ependymoma, ZFTA fusion-positive	Supratentorial ependymoma, ZFTA fusion-positive, subclass E	The "mf Supratentorial ependymoma, ZFTA fusion-positive" includes "mc Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass A", "mc Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass B", "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass C", "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass D" and "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass E", and represents the most common group of supratentorial pediatric ependymomas. Within this mf, subclasses C, D and E less frequently show the canonical ZFTA:RELA fusion, with ZFTA rather being fused to alternative partners such as MAML2/3 or NCOA1/2.  These are provisional classes, which are still being further characterized.
ST-EPN-RELA 1	EPN_ST_ZFTA_RELA_A	EPN, ST ZFTA	#d84c4b	Ependymal tumours	supratentorial ependymoma, ZFTA fusion-positive	supratentorial ependymoma, ZFTA:RELA fusion-positive	Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass A	The "mf Supratentorial ependymoma, ZFTA fusion-positive" includes "mc Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass A", "mc Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass B", "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass C", "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass D" and "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass E", and represents the most common group of supratentorial pediatric ependymomas. Within this mf, subclasses A & B typically show the canonical ZFTA:RELA fusion.
ST-EPN-RELA 2	EPN_ST_ZFTA_RELA_B	EPN, ST ZFTA	#bd2a29	Ependymal tumours	supratentorial ependymoma, ZFTA fusion-positive	supratentorial ependymoma, ZFTA:RELA fusion-positive	Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass B	The "mf Supratentorial ependymoma, ZFTA fusion-positive" includes "mc Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass A", "mc Supratentorial ependymoma, ZFTA fusion-positive, subtype ZFTA-RELA fused, subclass B", "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass C", "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass D" and "mc Supratentorial ependymoma, ZFTA fusion-positive, subclass E", and represents the most common group of supratentorial pediatric ependymomas. Within this mf, subclasses A & B typically show the canonical ZFTA:RELA fusion.
EPN_YAP	EPN_YAP	EPN, ST YAP1	#FE576C	Ependymal tumours	supratentorial ependymoma, YAP1-fused	supratentorial ependymoma, YAP1-fused	Supratentorial ependymoma, YAP1-fused	The "mc Supratentorial ependymoma, YAP1 fusion-positive" is comprised of circumscribed supratentorial gliomas with a YAP1 fusion, focally demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix. In most of these supratentorial ependymomas, YAP1 is fused with MAMLD1. YAP1 fusion–positive ependymomas are uncommon and appear to be restricted to young children. In paediatric cohorts, they account for 6–7.4% of supratentorial ependymomas. The M:F ratio is 0.3:1
RMS_embryonal	ERMS			rhabdomyosarcoma	embryonal and MYOD1-mutant rhabdomyosarcoma	rhabdomyosarcoma, embryonal subtype	Rhabdomyosarcoma, embryonal subtype	The "mc Rhabdomyosarcoma, embryonal subtype" represents a malignant soft tissue tumour with morphological and gene expression features of embryonic skeletal muscle. Most cases occur in childhood, with a slight preponderance in males (M:F ratio 1.5:1). Some cases have been linked to germline RASopathies, including NF1, Costello syndrome and Noonan syndrome, and somatic mutations in this pathway (also including FGFR4) are also recurrently observed. These tumours often show frequent whole chromosome copy number changes, and copy-neutral LOH of 11p is found in almost all tumours of this mc. FOXO1 fusions are not found in this group.
MB_G3_Like	ET_BRD4_LEUTX		#51c3fa	Other CNS embryonal tumours	CNS embryonal tumour with BRD4:LEUTX fusion	CNS embryonal tumour with BRD4:LEUTX fusion	CNS embryonal tumour with BRD4:LEUTX fusion	
HGNET_PLAG	ET_PLAG		#315581	Other CNS embryonal tumours	CNS Embryonal tumour with PLAG-family amplification	CNS Embryonal tumour with PLAG-family amplification	CNS Embryonal tumour with PLAG-family amplification	The "mc CNS Embryonal tumour with PLAG-family amplification" is comprised of…xxx
ETMR_Like	ETMR_Atyp		#5dbcee	Other CNS embryonal tumours	embryonal tumour with multilayered rosettes	embryonal tumour with multilayered rosettes-like	Embryonal tumour with multilayered rosettes, atypical	The "mf Embryonal tumour with multilayered rosettes" is comprised of tumours with the diagnosis embryonal tumour with multilayered rosettes, C19mc-altered (90%) and embryonal tumour with multilayered rosettes, C19mc-non-altered (10%). The majority of tumours are located supratentorially. Median age is 3 years (range 2 to 3).  In about 10% of cases, tumours with this molecular phenotype but lacking the C19mc amplification may be seen ("mc embryonal tumour with multilayered rosettes, non-c19mc-altered"). These tumours often harbor mutations in DICER1, typically with the first hit in the germline.
ETMR	ETMR_C19MC	ETMR, C19MC-altered	#1693D6	Other CNS embryonal tumours	embryonal tumour with multilayered rosettes	embryonal tumour with multilayered rosettes, C19MC altered	Embryonal tumour with multilayered rosettes, C19MC altered	The "mf Embryonal tumour with multilayered rosettes" is comprised of tumours with the diagnosis embryonal tumour with multilayered rosettes, C19mc-altered (90%) and embryonal tumour with multilayered rosettes, C19mc-non-altered (10%). The majority of tumours are located supratentorially. Median age is 3 years (range 2 to 3). Molecularly, these aggressive tumours frequently harbor amplification of the C19mc miRNA cluster (90%, all cases in the "mc embryonal tumour with multilayered rosettes, C19mc-altered") together with a TTYH1-C19mc fusion. Gain of one copy of chromosome 2 is also frequently observed (>60% of cases), and expression of LIN28A is high at both mRNA and protein levels. In about 10% of cases, tumours with this molecular phenotype but lacking the C19mc amplification may be seen ("mc embryonal tumour with multilayered rosettes, non-c19mc-altered"). These tumours often harbor mutations in DICER1, typically with the first hit in the germline.
EVNCYT	EVNCYT	EVN	#e7b598	Low-grade glial/glioneuronal/neuroepithelial tumours	low-grade glioneuronal tumour	extraventricular neurocytoma	Extraventricular neurocytoma	The "mc Extraventricular neurocytoma" is comprised of usually well-circumscribed neuronal neoplasms of WHO grade II that arises throughout the CNS outside the ventricular system, with histopathological characteristics resembling those of central neurocytoma but demonstrating a much wider morphological spectrum, and with frequent FGFR1::TACC1 fusions. The age peak is in the third to fourth decade of life.
EWS	EWS	EWS	#CE69EC	Mesenchymal, non-meningothelial tumours involving the CNS	Tumours of uncertain differentiation	Ewing sarcoma	Ewing sarcoma	The "mc Ewing sarcoma" of the nervous system is comprised of extraosseous small round cell sarcoma containing a fusion between one FET family gene (usually EWSR1) and one ETS family gene (most often FLI1). Ewing sarcoma is most commonly encountered in children and young adults, with older patients more commonly presenting with extraosseous disease, including in the nervous system.
GBM_CBM	GBM_CBM		#58c159	Adult-type diffuse gliomas	Glioblastoma, IDH-wildtype	high-grade diffuse glioma of the midline/posterior fossa; H3/IDH-wildtype	High-grade diffuse glioma of the midline/posterior fossa; H3/IDH-wildtype	The "mc High-grade diffuse glioma of the midline/posterior fossa; H3/IDH-wildtype (novel)" is comprised of  infiltrative glioma (WHO grade 4) involving the cerebellum.On methylation analysis, this group seems to be distinct from previously identified "hemispheric" infiltrative glioma/glioblastoma subtypes.
GBM_MES_NOS	GBM_MES_ATYP	HGG, H3 wildtype	#518131	Adult-type diffuse gliomas	Glioblastoma, IDH-wildtype	glioblastoma, IDH-wildtype, mesenchymal type	Glioblastoma, IDH-wildtype, [atypical mesenchymal type]	The "mc Glioblastoma, IDH wildtype, subclass mesenchymal, subclass B (novel)" is comprised of tumours with a histological diagnosis of glioblastoma or occasionally gliosarcoma. These tumours are typically located in the cerebral hemispheres with peak incidence in patients aged 55–85 years. Recurrent chromosomal alterations are gain of chromosome 7 with or without EGFR amplification (>80%), loss of 9p21 (CDKN2A/B; >60%) and chromosome 10 loss (>90%). Alterations of NF1 may be enriched in this mc, and expression profiles often resemble the 'Mesenchymal' subgroup according to the TCGA classification.  This subclass is provisional and requires further characterization. There appears to be a certain enrichment for epitheloid GBM and BRAFV600E mutations.
GBM_MES	GBM_MES_TYP	HGG, H3 wildtype	#538533	Adult-type diffuse gliomas	Glioblastoma, IDH-wildtype	glioblastoma, IDH-wildtype, mesenchymal type	Glioblastoma, IDH-wildtype, [typical mesenchymal type]	The "mc Glioblastoma, IDH wildtype, subclass mesenchymal" is comprised of tumours with a histological diagnosis of glioblastoma or occasionally gliosarcoma. These tumours are typically located in the cerebral hemispheres with peak incidence in patients aged 55–85 years. Recurrent chromosomal alterations are gain of chromosome 7 with or without EGFR amplification (>80%), loss of 9p21 (CDKN2A/B; >60%) and chromosome 10 loss (>90%). Alterations of NF1 may be enriched in this mc, and expression profiles often resemble the 'Mesenchymal' subgroup according to the TCGA classification.
HGNET_NOS1	GBM_PNC		#a3bcdc	Adult-type diffuse gliomas	Glioblastoma, IDH-wildtype	glioblastoma, IDH-wildtype, with primitive neuronal component	Glioblastoma, IDH-wildtype, with primitive neuronal component	The "mc Glioblastoma, IDH-wildtype with primitive neuronal component (novel)"  is comprised of diffuse, astrocytic gliomas that are IDH-wildtype and H3-wildtype (CNS WHO grade 4) that histologically also feature a primitive neuronal component. A poorly differentiated phenotype with frequent absence of GFAP expression, high proliferation index and strong staining for p53 and TTF1 often caused misleading histological classification as carcinoma metastasis or primitive neuroectodermal tumour. The median age at diagnosis is around 60 years Clinically, many patients presented with leptomeningeal dissemination and spinal metastasis. These tumours frequently harbor alterations in TP53, RB1 and PTEN, with fewer gains of chromosome 7 and homozygous CDKN2A/B deletions than usually described for IDH-wildtype glioblastoma.
GBM_RTK1	GBM_RTK1	HGG, H3 wildtype	#68C62D	Adult-type diffuse gliomas	Glioblastoma, IDH-wildtype	glioblastoma, IDH-wildtype, RTK1 type	Glioblastoma, IDH-wildtype, RTK1 subtype	The "mc Glioblastoma, IDH-wildtype, RTK1 subtype" is comprised of diffuse, astrocytic gliomas that are IDH-wildtype and H3-wildtype and have one or more of the following histological or genetic features: microvascular proliferation, necrosis, TERT promoter mutation, EGFR gene amplification, +7/−10 chromosome copy-number changes (CNS WHO grade 4). They also very commonly (~90%) harbor TP53 mutations and CDKN2A/B deletions (~70%). They can manifest in patients of any age but preferentially affects older adults, with peak incidence in patients aged 55–85 years. The RTK1 subtype has a lower frequency of EGFR amplification (~25%), while it is enriched for PDGFRA amplification (~30%). Expression profiles often resemble the 'Proneural' subgroup according to the TCGA classification.
GBM_RTK2	GBM_RTK2	HGG, H3 wildtype	#7AF870	Adult-type diffuse gliomas	Glioblastoma, IDH-wildtype	glioblastoma, IDH-wildtype, RTK2 type	Glioblastoma, IDH-wildtype, RTK2 subtype	The "mc Glioblastoma, IDH-wildtype, RTK2 subtype" is comprised of diffuse, astrocytic gliomas that are IDH-wildtype and H3-wildtype and have one or more of the following histological or genetic features: microvascular proliferation, necrosis, TERT promoter mutation, EGFR gene amplification, +7/−10 chromosome copy-number changes (CNS WHO grade 4). They also very commonly (~90%) harbor TP53 mutations and CDKN2A/B deletions (~70%). They can manifest in patients of any age but preferentially affects older adults, with peak incidence in patients aged 55–85 years. The RTK2 subtype harbours a high frequency of EGFR amplification (~60%). Expression profiles often resemble the 'Proneural' subgroup according to the TCGA classification. Expression profiles often resemble the 'Classical' subgroup according to the TCGA classification.
GCT_GERM	GCT_GERM_A		#c39f88	Germ cell tumours	Germ cell tumours of the CNS	Germinoma	Germinoma, subtype KIT wildtype (novel)	The "mc Germinoma, subtype KIT wildtype (novel)" is comprised of morphological and immunophenotypic homologues of gonadal and other extraneuraxial germ cell neoplasms sharing certain genetic features. Approximately 80–90% of CNS germ cell tumours arise in the midline, most frequently in the pineal region followed by the suprasellar compartment (where they originate in the posterior pituitary / infundibular stalk). Bifocal and multifocal examples (nearly all germinomas) typically involve these sites, but they may also occur in the basal ganglia, thalami, or other locations. CNS germ cell tumours principally affect children, and they are more prevalent in eastern Asia than in Europe and the USA. The subtype KIT wildtype includes a spectrum of germinomas mostly without a mutation in KIT.
GCT_GERM_KIT	GCT_GERM_KIT		#b28366	Germ cell tumours	Germ cell tumours of the CNS	Germinoma	Germinoma, subtype KIT mutant (novel)	The "mc Germinoma, subtype KIT mutant (novel)" is comprised of morphological and immunophenotypic homologues of gonadal and other extraneuraxial germ cell neoplasms sharing certain genetic features. Approximately 80–90% of CNS germ cell tumours arise in the midline, most frequently in the pineal region followed by the suprasellar compartment (where they originate in the posterior pituitary / infundibular stalk). Bifocal and multifocal examples (nearly all germinomas) typically involve these sites, but they may also occur in the basal ganglia, thalami, or other locations. CNS germ cell tumours principally affect children, and they are more prevalent in eastern Asia than in Europe and the USA. The subtype KIT mutant is enriched in germinomas harboring a mutation in KIT.
GCT_TERA	GCT_TERA		#996a4d	Germ cell tumours	Germ cell tumours of the CNS	teratoma	Teratoma	The "mc Teratoma" is comprised of tumours consiting of tissue components of the three germ cell layers and occur predominantly in neonates and infants. They arise along the migratory path of primordial germ cells.
GCT_YOLKSAC	GCT_YOLKSAC		#77523c	Germ cell tumours	Germ cell tumours of the CNS	yolk sac tumour	Yolk sac tumour	The "mc Yolk sac tumour" is comprised of malignant neoplasms resembling extraembryonic structures, including yolk sac, allantois, and extraembryonic mesenchyme.
GG	GG	GNG, MAPK	#E4703A	Low-grade glial/glioneuronal/neuroepithelial tumours	low-grade ganglioglial/neuroepithelial tumour	ganglioglioma	Ganglioglioma	The "mc Ganglioglioma" is comprised of well-differentiated, slow-growing glioneuronal neoplasms composed of a combination of neoplastic ganglion and glial cells, which is molecularly characterized by genetic alterations that cause MAPK pathway activation (CNS WHO grade 1).  Histologically, a fraction of these tumours would probably be diagnosed as dysembryoplastic neuroepithelial tumour. Tumours in this group are exclusively located supratentorially. Gangliogliomas have been reported in patients ranging from 0 to 70 years of age, most occurring in the first and second decades of life (median age at diagnosis: 12 years).  Alterations of the MAPK pathway are frequent in this class, and in particular BRAF V600E mutation is highly recurrent. Most cases show a flat profile in copy number analysis, with rare cases showing gain of chromosome 7 and/or X (both in around 20% of cases).
GNT_NOS	GNT_A	GNT	#dd976e	diffuse glioneuronal tumours	diffuse glioneuronal tumours	diffuse glioneuronal tumour, non defined type	Diffuse glioneuronal tumour, subtype A	The "mc glioneuronal tumour, subtype A" is a new methylation class. Pathological , clinical and further molecular evaluation is under investigation.
AAP	HGAP		#734ba9	diffuse glioma, MAPK altered, cell-cycle activated	high-grade astrocytoma with piloid features	high-grade astrocytoma with piloid features	High-grade astrocytoma with piloid features	The "mc high-grade astrocytoma with piloid features" is mainly comprised of tumours with the histological diagnosis of anaplastic pilocytic astrocytoma or less commonly glioblastoma. The tumours mostly occur in the posterior fossa and rarely in the diencephalic/thalamic region; median age is 40 years (age range 24 to 75). Deletions of CDKN2A/B are very frequent (>70%). BRAF duplications are also observed in a fraction of cases. Around 50% of cases show an immunohistochemical loss of ATRX. Loss of chromosome 19q (total or partial) is observed in over 50% of cases
HGNET_NOS2	HGG_B	HGG, H3 wildtype	#7ea2ce	Adult-type diffuse gliomas	diffuse high-grade neuroepithelial tumour [adult-type]	diffuse high-grade neuroepithelial tumour [adult-type, non-defined type B]	Adult-type diffuse high grade glioma, IDH-wildtype, subtype B	The "mc Adult-type diffuse high grade glioma, IDH-wildtype, subtype B (novel)" is comprised of diffuse, astrocytic gliomas that are IDH-wildtype and H3-wildtype (CNS WHO grade 4). This is a provisional methylation cluster for which more specific molecular and clinical associations are currentl lacking.
HGNET_NOS5	HGG_E	HGG, H3 wildtype	#5987c0	Adult-type diffuse gliomas	diffuse high-grade neuroepithelial tumour [adult-type]	diffuse high-grade neuroepithelial tumour [adult-type, non-defined type C]	Adult-type diffuse high grade glioma, IDH-wildtype, subtype E	The "mc Adult-type diffuse high grade glioma, IDH-wildtype, subtype E (novel)" is comprised of diffuse, astrocytic gliomas that are IDH-wildtype and H3-wildtype (CNS WHO grade 4). This is a provisional methylation cluster for which more specific molecular and clinical associations are currentl lacking.
HGNET_NOS6	HGG_F	HGG, H3 wildtype	#3f6da6	Adult-type diffuse gliomas	diffuse high-grade neuroepithelial tumour [adult-type]	diffuse high-grade neuroepithelial tumour [adult-type, non-defined type D]	Adult-type diffuse high grade glioma, IDH-wildtype, subtype F	The "mc Adult-type diffuse high grade glioma, IDH-wildtype, subtype F (novel)" is comprised of diffuse, astrocytic gliomas that are IDH-wildtype and H3-wildtype (CNS WHO grade 4). This is a provisional methylation cluster for which more specific molecular and clinical associations are currentl lacking.
HMB	HMB		#ED5CFC	Mesenchymal, non-meningothelial tumours involving the CNS	Vascular tumours	haemangioblastoma	Haemangioblastoma	The "mc Haemangioblastoma" is comprised of highly vascular tumours containing neoplastic stromal cells that have clear to vacuolated cytoplasm and characteristic immunohistochemical features (e.g. inhibin positivity) and molecular findings (e.g. VHL alterations) (CNS WHO grade 1). DNA copy-number profiles are typically flat. Location is typically in the posterior fossa or spinal; median age is 28 years (range 14 to 66).
IHG	IHG	IHG	#d0bbd8	Paediatric-type diffuse high-grade gliomas	Infant-type hemispheric glioma	Infant-type hemispheric glioma	Infant-type hemispheric glioma	The "mc Infant-type hemispheric glioma" is comprised of cerebral hemispheric, high-grade cellular astrocytomas that arise in early childhood and typically harbor receptor tyrosine kinase (RTK) fusions including those in the NTRK family or in ROS1, ALK, or MET. These gliomas appear in the supratentorial compartment, usually as large masses. The median age at presentation is around 3 months (range: 0–12 months). The prognosis is better than for other pediatric high-grade gliomas. Copy number alterations are scarce.
